Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
12074,BBS JAN SHATABDI,BHUBANESWAR,BBS,0,ECOR
12074,BBS JAN SHATABDI,CUTTACK,CTC,14,ECOR
12074,BBS JAN SHATABDI,JAKHAPURA,JKPR,19,ECOR
12074,BBS JAN SHATABDI,JAJPUR K ROAD,JJKR,25,ECOR
12074,BBS JAN SHATABDI,BHADRAKH,BHC,16,ECOR
12074,BBS JAN SHATABDI,SORO,SORO,23,ECOR
12074,BBS JAN SHATABDI,BALASORE,BLS,28,ECOR
12074,BBS JAN SHATABDI,JALESWAR,JER,27,ECOR
12074,BBS JAN SHATABDI,BELDA,BLDA,31,ECOR
12074,BBS JAN SHATABDI,KHARAGPUR JN,KGP,31,ECOR
12074,BBS JAN SHATABDI,HOWRAH JN,HWH,46,ECOR
