Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
22414,NZM MAO RAJDANI,H NIZAMUDDIN,NZM,1,NR
22414,NZM MAO RAJDANI,KOTA JN,KOTA,31,NR
22414,NZM MAO RAJDANI,RATLAM JN,RTM,25,NR
22414,NZM MAO RAJDANI,VADODARA JN,BRC,16,NR
22414,NZM MAO RAJDANI,SURAT,ST,18,NR
22414,NZM MAO RAJDANI,VASAI ROAD,BSR,27,NR
22414,NZM MAO RAJDANI,PANVEL,PNVL,28,NR
22414,NZM MAO RAJDANI,RATNAGIRI,RN,57,NR
22414,NZM MAO RAJDANI,KUDAL,KUDL,58,NR
22414,NZM MAO RAJDANI,THIVIM,THVM,59,NR
22414,NZM MAO RAJDANI,MADGAON,MAO,5,NR
