Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
12284,NZM ERS DURONTO,H NIZAMUDDIN,NZM,4,NR
12284,NZM ERS DURONTO,KOTA JN,KOTA,23,NR
12284,NZM ERS DURONTO,RATLAM JN,RTM,11,NR
12284,NZM ERS DURONTO,VADODARA JN,BRC,13,NR
12284,NZM ERS DURONTO,SURAT,ST,11,NR
12284,NZM ERS DURONTO,VASAI ROAD,BSR,12,NR
12284,NZM ERS DURONTO,PANVEL,PNVL,17,NR
12284,NZM ERS DURONTO,RATNAGIRI,RN,47,NR
12284,NZM ERS DURONTO,MADGAON,MAO,70,NR
12284,NZM ERS DURONTO,MANGALORE JN,MAJN,21,NR
12284,NZM ERS DURONTO,KOZHIKODE,CLT,40,NR
12284,NZM ERS DURONTO,ERNAKULAM JN,ERS,28,NR
