Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
12997,BARMER HUMSAFAR,BANDRA TERMINUS,BDTS,8,WR
12997,BARMER HUMSAFAR,BORIVALI,BVI,18,WR
12997,BARMER HUMSAFAR,VAPI,VAPI,15,WR
12997,BARMER HUMSAFAR,VALSAD,BL,13,WR
12997,BARMER HUMSAFAR,UDHNA JN,UDN,11,WR
12997,BARMER HUMSAFAR,SURAT,ST,16,WR
12997,BARMER HUMSAFAR,ANKLESHWAR JN,AKV,20,WR
12997,BARMER HUMSAFAR,VADODARA JN,BRC,19,WR
12997,BARMER HUMSAFAR,ANAND JN,ANND,27,WR
12997,BARMER HUMSAFAR,NADIAD JN,ND,28,WR
12997,BARMER HUMSAFAR,AHMEDABAD JN,ADI,14,WR
12997,BARMER HUMSAFAR,MAHESANA JN,MSH,20,WR
12997,BARMER HUMSAFAR,PATAN,PTN,24,WR
12997,BARMER HUMSAFAR,BHILDI,BLDI,11,WR
12997,BARMER HUMSAFAR,RANIWARA,RNV,19,WR
12997,BARMER HUMSAFAR,MARWAR BHINMAL,MBNL,20,WR
12997,BARMER HUMSAFAR,MODRAN,MON,21,WR
12997,BARMER HUMSAFAR,JALOR,JOR,32,WR
12997,BARMER HUMSAFAR,MOKALSAR,MKSR,38,WR
12997,BARMER HUMSAFAR,SAMDHARI JN,SMR,48,WR
12997,BARMER HUMSAFAR,BALOTRA JN,BLT,43,WR
12997,BARMER HUMSAFAR,BAYTU,BUT,43,WR
12997,BARMER HUMSAFAR,BARMER,BME,9,WR
