Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
02003,NDLS SWARNA SHATABDI,PUNE JN,PUNE,55,NR
02003,NDLS SWARNA SHATABDI,SATARA,STR,59,NR
02003,NDLS SWARNA SHATABDI,MIRAJ JN,MRJ,77,NR
02003,NDLS SWARNA SHATABDI,BELAGAVI,BGM,67,NR
02003,NDLS SWARNA SHATABDI,DHARWAR,DWR,63,NR
02003,NDLS SWARNA SHATABDI,HUBBALLI JN,UBL,60,NR
02004,LJN SWARNA SHATABDI,,,,
02005,KALKA SHTBDI SPL,NAGPUR,NGP,0,NR
02005,KALKA SHTBDI SPL,SEVAGRAM,SEGM,0,NR
02005,KALKA SHTBDI SPL,CHANDRAPUR,CD,0,NR
02005,KALKA SHTBDI SPL,BALHARSHAH,BPQ,0,NR
02005,KALKA SHTBDI SPL,RAMGUNDAM,RDM,0,NR
02005,KALKA SHTBDI SPL,KAZIPET JN,KZJ,0,NR
02005,KALKA SHTBDI SPL,SECUNDERABAD JN,SC,0,NR
02006,KALKA SHTBDI SPL,,,,
02011,NDLS KLK SHATABDI,,,,
02012,KLK SHTBDI SPL,,,,
02013,ASR SHTBDI SPL,,,,
02014,NDLS SHATABDI SPL,,,,
02033,CNB NDLS SHT SPL,,,,
02034,NDLS CNB SHT SPL,,,,
02039,NDLS SHATABDI SPL,,,,
02040,KGM SHATABDI SPL,NAGPUR,NGP,2,NR
02040,KGM SHATABDI SPL,AJNI,AJNI,0,NR
02040,KGM SHATABDI SPL,WARDHA JN,WR,72,NR
02040,KGM SHATABDI SPL,PULGAON JN,PLO,81,NR
02040,KGM SHATABDI SPL,DHAMANGAON,DMN,82,NR
02040,KGM SHATABDI SPL,BADNERA JN,BD,73,NR
02040,KGM SHATABDI SPL,AKOLA JN,AK,77,NR
02040,KGM SHATABDI SPL,SHEGAON,SEG,85,NR
02040,KGM SHATABDI SPL,MALKAPUR,MKU,85,NR
02040,KGM SHATABDI SPL,BHUSAVAL JN,BSL,67,NR
02040,KGM SHATABDI SPL,NASIK ROAD,NK,111,NR
02040,KGM SHATABDI SPL,IGATPURI,IGP,160,NR
02040,KGM SHATABDI SPL,KALYAN JN,KYN,330,NR
02040,KGM SHATABDI SPL,DADAR,DR,0,NR
02040,KGM SHATABDI SPL,C SHIVAJI TERM MUMBAI,CSMT,0,NR
12001,NDLS SHATABDI,RANI KAMLAPATI,RKMP,17,NR
12001,NDLS SHATABDI,BHOPAL JN,BPL,18,NR
12001,NDLS SHATABDI,BINA JN,BINA,18,NR
12001,NDLS SHATABDI,LALITPUR,LAR,28,NR
12001,NDLS SHATABDI,V LAKSHMIBAI JHANSI,VGLJ,23,NR
12001,NDLS SHATABDI,GWALIOR,GWL,35,NR
12001,NDLS SHATABDI,MORENA,MRA,37,NR
12001,NDLS SHATABDI,DHAULPUR,DHO,24,NR
12001,NDLS SHATABDI,AGRA CANTT,AGC,26,NR
12001,NDLS SHATABDI,MATHURA JN,MTJ,34,NR
12001,NDLS SHATABDI,NEW DELHI,NDLS,39,NR
12002,BHOPAL SHTBDI,NEW DELHI,NDLS,1,NR
12002,BHOPAL SHTBDI,MATHURA JN,MTJ,22,NR
12002,BHOPAL SHTBDI,AGRA CANTT,AGC,30,NR
12002,BHOPAL SHTBDI,DHAULPUR,DHO,23,NR
12002,BHOPAL SHTBDI,MORENA,MRA,26,NR
12002,BHOPAL SHTBDI,GWALIOR,GWL,26,NR
12002,BHOPAL SHTBDI,V LAKSHMIBAI JHANSI,VGLJ,22,NR
12002,BHOPAL SHTBDI,LALITPUR,LAR,30,NR
12002,BHOPAL SHTBDI,BINA JN,BINA,20,NR
12002,BHOPAL SHTBDI,BHOPAL JN,BPL,24,NR
12002,BHOPAL SHTBDI,RANI KAMLAPATI,RKMP,13,NR
12003,NDLS SWARNA SHATABDI,LUCKNOW NE,LJN,6,NR
