Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
02003,NDLS SWARNA SHATABDI,,,,
02004,LJN SWARNA SHATABDI,,,,
02005,KALKA SHTBDI SPL,,,,
02006,KALKA SHTBDI SPL,,,,
02011,NDLS KLK SHATABDI,,,,
02012,KLK SHTBDI SPL,,,,
02013,ASR SHTBDI SPL,,,,
02014,NDLS SHATABDI SPL,,,,
02033,CNB NDLS SHT SPL,,,,
02034,NDLS CNB SHT SPL,,,,
02039,NDLS SHATABDI SPL,,,,
02040,KGM SHATABDI SPL,,,,
12001,NDLS SHATABDI,RANI KAMLAPATI,RKMP,19,NR
12001,NDLS SHATABDI,BHOPAL JN,BPL,20,NR
12001,NDLS SHATABDI,BINA JN,BINA,20,NR
12001,NDLS SHATABDI,LALITPUR,LAR,34,NR
12001,NDLS SHATABDI,V LAKSHMIBAI JHANSI,VGLJ,34,NR
12001,NDLS SHATABDI,GWALIOR,GWL,42,NR
12001,NDLS SHATABDI,MORENA,MRA,45,NR
12001,NDLS SHATABDI,DHAULPUR,DHO,32,NR
12001,NDLS SHATABDI,AGRA CANTT,AGC,31,NR
12001,NDLS SHATABDI,MATHURA JN,MTJ,40,NR
12001,NDLS SHATABDI,NEW DELHI,NDLS,214,NR
12002,BHOPAL SHTBDI,NEW DELHI,NDLS,0,NR
12002,BHOPAL SHTBDI,MATHURA JN,MTJ,25,NR
12002,BHOPAL SHTBDI,AGRA CANTT,AGC,35,NR
12002,BHOPAL SHTBDI,DHAULPUR,DHO,30,NR
12002,BHOPAL SHTBDI,MORENA,MRA,34,NR
12002,BHOPAL SHTBDI,GWALIOR,GWL,36,NR
12002,BHOPAL SHTBDI,V LAKSHMIBAI JHANSI,VGLJ,32,NR
12002,BHOPAL SHTBDI,LALITPUR,LAR,42,NR
12002,BHOPAL SHTBDI,BINA JN,BINA,30,NR
12002,BHOPAL SHTBDI,BHOPAL JN,BPL,33,NR
12002,BHOPAL SHTBDI,RANI KAMLAPATI,RKMP,22,NR
12003,NDLS SWARNA SHATABDI,LUCKNOW NE,LJN,2,NR
12003,NDLS SWARNA SHATABDI,KANPUR CENTRAL,CNB,8,NR
12003,NDLS SWARNA SHATABDI,PHAPHUND,PHD,17,NR
12003,NDLS SWARNA SHATABDI,ETAWAH,ETW,24,NR
12003,NDLS SWARNA SHATABDI,TUNDLA JN,TDL,15,NR
12003,NDLS SWARNA SHATABDI,ALIGARH JN,ALJN,17,NR
12003,NDLS SWARNA SHATABDI,GHAZIABAD,GZB,8,NR
12003,NDLS SWARNA SHATABDI,NEW DELHI,NDLS,5,NR
12004,LJN SWARNA SHATABDI,NEW DELHI,NDLS,1,NR
12004,LJN SWARNA SHATABDI,GHAZIABAD,GZB,7,NR
12004,LJN SWARNA SHATABDI,ALIGARH JN,ALJN,18,NR
12004,LJN SWARNA SHATABDI,TUNDLA JN,TDL,10,NR
12004,LJN SWARNA SHATABDI,ETAWAH,ETW,11,NR
12004,LJN SWARNA SHATABDI,PHAPHUND,PHD,14,NR
12004,LJN SWARNA SHATABDI,KANPUR CENTRAL,CNB,10,NR
12004,LJN SWARNA SHATABDI,LUCKNOW NE,LJN,8,NR
12005,KALKA SHTBDI,NEW DELHI,NDLS,4,NR
12005,KALKA SHTBDI,PANIPAT JN,PNP,12,NR
12005,KALKA SHTBDI,KURUKSHETRA JN,KKDE,22,NR
12005,KALKA SHTBDI,AMBALA CANT JN,UMB,8,NR
12005,KALKA SHTBDI,CHANDIGARH,CDG,6,NR
12005,KALKA SHTBDI,KALKA,KLK,6,NR
12006,KALKA SHTBDI,KALKA,KLK,1,NR
12006,KALKA SHTBDI,CHANDIGARH,CDG,3,NR
12006,KALKA SHTBDI,AMBALA CANT JN,UMB,1,NR
12006,KALKA SHTBDI,KURUKSHETRA JN,KKDE,5,NR
12006,KALKA SHTBDI,PANIPAT JN,PNP,13,NR
12006,KALKA SHTBDI,NEW DELHI,NDLS,7,NR
12007,SHATABDI EXP,CHENNAI CENTRAL,MAS,1,SR
12007,SHATABDI EXP,KATPADI JN,KPD,10,SR
12007,SHATABDI EXP,KSR BANGALORE CY JN,SBC,13,SR
12008,SHATABDI EXP,MYSORE JN,MYS,1,SR
12008,SHATABDI EXP,KSR BANGALORE CY JN,SBC,12,SR
12008,SHATABDI EXP,KATPADI JN,KPD,16,SR
12008,SHATABDI EXP,CHENNAI CENTRAL,MAS,11,SR
12009,SHATABDI EXP,MUMBAI CENTRAL,MMCT,1,WR
12009,SHATABDI EXP,BORIVALI,BVI,13,WR
12009,SHATABDI EXP,VAPI,VAPI,15,WR
12009,SHATABDI EXP,SURAT,ST,9,WR
12009,SHATABDI EXP,BHARUCH JN,BH,9,WR
12009,SHATABDI EXP,VADODARA JN,BRC,10,WR
