Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
12212,MFP GARIB RATH,ANAND VIHAR TRM,ANVT,2,NR
12212,MFP GARIB RATH,MORADABAD,MB,13,NR
12212,MFP GARIB RATH,BAREILLY,BE,16,NR
12212,MFP GARIB RATH,SHAHJEHANPUR,SPN,13,NR
12212,MFP GARIB RATH,LUCKNOW NR,LKO,3,NR
12212,MFP GARIB RATH,GONDA JN,GD,4,NR
12212,MFP GARIB RATH,GORAKHPUR JN,GKP,1,NR
12212,MFP GARIB RATH,BAGAHA,BUG,1,NR
12212,MFP GARIB RATH,NARKATIAGANJ JN,NKE,1,NR
12212,MFP GARIB RATH,BETTIAH,BTH,13,NR
12212,MFP GARIB RATH,SAGAULI JN,SGL,12,NR
12212,MFP GARIB RATH,BAPUDHAM MOTIHARI,BMKI,17,NR
12212,MFP GARIB RATH,CHAKIA,CAA,21,NR
