Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
02269,VANDE BHARAT SPL,CHHAPRA,CPR,10,SR
02269,VANDE BHARAT SPL,SURAIMANPUR,SIP,8,SR
02269,VANDE BHARAT SPL,BALLIA,BUI,11,SR
02269,VANDE BHARAT SPL,GHAZIPUR CITY,GCT,8,SR
02269,VANDE BHARAT SPL,VARANASI JN,BSB,5,SR
02269,VANDE BHARAT SPL,SULTANPUR,SLN,4,SR
02269,VANDE BHARAT SPL,LUCKNOW NR,LKO,13,SR
02270,VANDE BHARAT SPL,LUCKNOW NR,LKO,3,SR
02270,VANDE BHARAT SPL,SULTANPUR,SLN,9,SR
02270,VANDE BHARAT SPL,VARANASI JN,BSB,33,SR
02270,VANDE BHARAT SPL,GHAZIPUR CITY,GCT,28,SR
02270,VANDE BHARAT SPL,BALLIA,BUI,29,SR
02270,VANDE BHARAT SPL,SURAIMANPUR,SIP,28,SR
02270,VANDE BHARAT SPL,CHHAPRA,CPR,22,SR
02435,VANDE BHARAT SPL,,,,
02436,VANDE BHARAT SPL,,,,
12461,VANDE BHARAT EXP,JODHPUR JN,JU,2,NWR
12461,VANDE BHARAT EXP,PALI MARWAR,PMY,8,NWR
12461,VANDE BHARAT EXP,FALNA,FA,11,NWR
12461,VANDE BHARAT EXP,ABU ROAD,ABR,8,NWR
12461,VANDE BHARAT EXP,PALANPUR JN,PNU,3,NWR
12461,VANDE BHARAT EXP,MAHESANA JN,MSH,4,NWR
12462,JU VANDE BHARAT,SABARMATI JN,SBIB,4,NWR
12462,JU VANDE BHARAT,MAHESANA JN,MSH,15,NWR
12462,JU VANDE BHARAT,PALANPUR JN,PNU,4,NWR
12462,JU VANDE BHARAT,ABU ROAD,ABR,6,NWR
12462,JU VANDE BHARAT,FALNA,FA,4,NWR
12462,JU VANDE BHARAT,PALI MARWAR,PMY,13,NWR
12462,JU VANDE BHARAT,JODHPUR JN,JU,1,NWR
20101,SC VANDE BHARAT,NAGPUR,NGP,2,CR
20101,SC VANDE BHARAT,SEVAGRAM,SEGM,15,CR
20101,SC VANDE BHARAT,CHANDRAPUR,CD,16,CR
20101,SC VANDE BHARAT,BALHARSHAH,BPQ,14,CR
20101,SC VANDE BHARAT,RAMGUNDAM,RDM,15,CR
20101,SC VANDE BHARAT,KAZIPET JN,KZJ,32,CR
20101,SC VANDE BHARAT,SECUNDERABAD JN,SC,0,CR
20102,NGP VANDE BHARAT,SECUNDERABAD JN,SC,4,CR
20102,NGP VANDE BHARAT,KAZIPET JN,KZJ,16,CR
20102,NGP VANDE BHARAT,RAMGUNDAM,RDM,27,CR
20102,NGP VANDE BHARAT,BALHARSHAH,BPQ,9,CR
20102,NGP VANDE BHARAT,CHANDRAPUR,CD,12,CR
20102,NGP VANDE BHARAT,SEVAGRAM,SEGM,16,CR
20102,NGP VANDE BHARAT,NAGPUR,NGP,2,CR
20171,VANDE BHARAT EXP,RANI KAMLAPATI,RKMP,6,WCR
20171,VANDE BHARAT EXP,V LAKSHMIBAI JHANSI,VGLJ,19,WCR
20171,VANDE BHARAT EXP,GWALIOR,GWL,25,WCR
20171,VANDE BHARAT EXP,AGRA CANTT,AGC,21,WCR
20171,VANDE BHARAT EXP,H NIZAMUDDIN,NZM,26,WCR
