Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
12502,KOAA GARIB RATH,AGARTALA,AGTL,2,NFR
12502,KOAA GARIB RATH,DHARMANAGAR,DMR,0,NFR
12502,KOAA GARIB RATH,NEW KARIMGANJ,NKMG,2,NFR
12502,KOAA GARIB RATH,BADARPUR JN,BPB,8,NFR
12502,KOAA GARIB RATH,NEW HAFLONG,NHLG,8,NFR
12502,KOAA GARIB RATH,MANDERDISA,MYD,9,NFR
12502,KOAA GARIB RATH,GUWAHATI,GHY,2,NFR
12502,KOAA GARIB RATH,GOALPARA TOWN,GLPT,14,NFR
12502,KOAA GARIB RATH,NEW BONGAIGAON,NBQ,15,NFR
12502,KOAA GARIB RATH,KOKRAJHAR,KOJ,21,NFR
12502,KOAA GARIB RATH,NEW ALIPURDAUR,NOQ,25,NFR
12502,KOAA GARIB RATH,NEW COOCH BEHAR,NCB,46,NFR
12502,KOAA GARIB RATH,NEW JALPAIGURI,NJP,7,NFR
12502,KOAA GARIB RATH,KISHANGANJ,KNE,32,NFR
12502,KOAA GARIB RATH,MALDA TOWN,MLDT,19,NFR
12502,KOAA GARIB RATH,JANGIPUR ROAD,JRLE,26,NFR
12502,KOAA GARIB RATH,AZIMGANJ JN,AZ,22,NFR
12502,KOAA GARIB RATH,KATWA,KWAE,12,NFR
12502,KOAA GARIB RATH,NABADWIP DHAM,NDAE,17,NFR
12502,KOAA GARIB RATH,BANDEL JN,BDC,26,NFR
12502,KOAA GARIB RATH,KOLKATA,KOAA,24,NFR
